@relation generated_from_java-ml_dataset-weka.filters.unsupervised.attribute.NumericToNominal-R7

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 {0,1,2,3,4}
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric

@data
1653625,2332,11,709,0,41796,4,26459,3,2
1653625,2332,16,709,0,41796,4,26459,1,0
131763,80,20,1647,33,821,3,4697,80,60
1653625,2332,17,709,11,41796,3,26459,24,21
1653625,2332,10,709,45,41796,3,26459,76,74
1653625,2332,12,709,12,41796,3,26459,24,24
10888952,2360,20,4613,35,4198,3,38318,55,50
122198,98,14,1246,4,14768,4,7809,5,5
1907149,123,15,15505,24,2319,4,5967,35,33
10888952,2360,4,4613,80,4198,2,38318,92,88
32928,423,23,77,2,14393,4,1204,4,2
1653625,2332,13,709,10,41796,4,26459,13,12
6323400,51356,4,123,15,17632,3,56696,36,33
1907149,123,15,15505,4,2319,4,5967,4,4
1653625,2332,17,709,21,41796,3,26459,48,41
1907149,123,15,15505,24,2319,2,5967,46,39
1016527,896,10,1134,17,12935,3,5304,25,24
131763,80,12,1647,22,821,3,4697,32,29
32928,423,11,77,1,14393,4,1204,1,1
32928,423,4,77,6,14393,4,1204,12,11
32928,423,16,77,4,14393,4,1204,4,4
1653625,2332,20,709,55,41796,3,26459,85,76
1653625,2332,10,709,1,41796,4,26459,5,3
647718,431,10,1502,34,2568,3,5482,51,45
1907149,123,12,15505,18,2319,3,5967,26,25
8669203,91,7,95265,80,23263,2,45290,151,131
299821,823,12,364,14,9854,3,9675,23,21
6323400,51356,14,123,45,17632,3,56696,73,60
10888952,2360,21,4613,15,4198,4,38318,26,22
131763,80,16,1647,10,821,4,4697,22,19
441455,845,9,522,4,19253,4,10777,5,5
32928,423,6,77,1,14393,4,1204,2,2
32928,423,6,77,19,14393,4,1204,25,24
122198,98,16,1246,1,14768,4,7809,1,1
1653625,2332,20,709,31,41796,3,26459,51,45
362647,40082,17,9,15,64978,4,23220,15,15
32928,423,6,77,5,14393,4,1204,7,6
32928,423,7,77,19,14393,4,1204,24,22
134546,633,8,212,1,7626,4,2096,2,1
1653625,2332,6,709,44,41796,3,26459,82,76
1907149,123,14,15505,16,2319,3,5967,34,30
32928,423,7,77,6,14393,4,1204,6,6
32928,423,4,77,5,14393,4,1204,7,7
134546,633,6,212,198,7626,2,2096,294,273
10888952,2360,0,4613,5,4198,4,38318,8,8
1016527,896,18,1134,4,12935,4,5304,7,6
122198,98,10,1246,2,14768,4,7809,3,3
32928,423,3,77,4,14393,4,1204,4,4
134546,633,13,212,4,7626,4,2096,7,5
32928,423,4,77,3,14393,4,1204,4,4
1016527,896,18,1134,79,12935,2,5304,149,132
32928,423,7,77,5,14393,4,1204,5,5
1653625,2332,19,709,109,41796,2,26459,195,174
1653625,2332,16,709,3,41796,4,26459,4,4
1016527,896,21,1134,3,12935,4,5304,4,4
1653625,2332,19,709,5,41796,4,26459,5,5
32928,423,11,77,19,14393,4,1204,32,24
1653625,2332,10,709,4,41796,4,26459,4,4
441455,845,9,522,2,19253,4,10777,2,2
8669203,91,13,95265,226,23263,0,45290,409,368
1653625,2332,0,709,15,41796,3,26459,35,25
32928,423,12,77,4,14393,4,1204,4,4
134546,633,8,212,3,7626,4,2096,4,4
1653625,2332,1,709,15,41796,3,26459,24,23
2458743,1001,13,2456,616,14140,0,21863,1046,942
441455,845,20,522,11,19253,4,10777,15,14
1907149,123,16,15505,13,2319,4,5967,17,16
10888952,2360,23,4613,22,4198,3,38318,28,26
32928,423,4,77,4,14393,4,1204,4,4
32928,423,11,77,3,14393,4,1204,4,4
1653625,2332,20,709,8,41796,4,26459,11,9
10888952,2360,20,4613,69,4198,2,38318,84,80
6323400,51356,14,123,114,17632,2,56696,230,200
32928,423,4,77,2,14393,4,1204,2,2
447745,297,14,1507,18,947,3,12017,27,26
32928,423,6,77,15,14393,4,1204,19,18
1907149,123,16,15505,61,2319,2,5967,84,74
441455,845,20,522,6,19253,4,10777,12,10
1016527,896,13,1134,15,12935,3,5304,29,22
1016527,896,14,1134,110,12935,2,5304,148,135
32968,271,16,121,3,2087,4,565,5,5
8669203,91,7,95265,18,23263,3,45290,28,26
441455,845,22,522,1,19253,4,10777,4,3
1653625,2332,11,709,5,41796,4,26459,6,5
10888952,2360,21,4613,50,4198,3,38318,61,59
1653625,2332,6,709,14,41796,3,26459,34,28
32928,423,15,77,0,14393,4,1204,0,0
131763,80,11,1647,15,821,3,4697,39,35
1653625,2332,15,709,3,41796,4,26459,4,4
131763,80,18,1647,25,821,3,4697,54,50
32928,423,12,77,56,14393,3,1204,86,79
1907149,123,15,15505,4,2319,4,5967,4,4
362647,40082,6,9,9,64978,4,23220,14,14
134546,633,9,212,11,7626,3,2096,18,17
32928,423,3,77,6,14393,4,1204,6,6
441455,845,9,522,8,19253,4,10777,13,10
1653625,2332,13,709,50,41796,3,26459,73,67
441455,845,9,522,5,19253,4,10777,7,7
6323400,51356,21,123,4,17632,4,56696,5,4
362647,40082,16,9,8,64978,4,23220,12,10
1653625,2332,21,709,19,41796,3,26459,25,22
10888952,2360,23,4613,20,4198,3,38318,27,23
131763,80,1,1647,508,821,0,4697,690,604
6323400,51356,14,123,90,17632,2,56696,169,152
441455,845,22,522,3,19253,4,10777,4,4
8669203,91,14,95265,136,23263,0,45290,282,239
10888952,2360,0,4613,8,4198,4,38318,10,10
1653625,2332,14,709,5,41796,4,26459,8,7
1907149,123,15,15505,9,2319,4,5967,18,17
2458743,1001,13,2456,31,14140,3,21863,53,43
6323400,51356,10,123,33,17632,3,56696,82,71
32928,423,2,77,1,14393,4,1204,1,1
1653625,2332,18,709,25,41796,3,26459,33,30
1653625,2332,6,709,27,41796,3,26459,51,45
1907149,123,12,15505,28,2319,2,5967,46,42
6323400,51356,16,123,62,17632,2,56696,121,105
32928,423,3,77,9,14393,4,1204,20,17
1653625,2332,12,709,17,41796,3,26459,22,20
10888952,2360,16,4613,24,4198,3,38318,38,32
8669203,91,12,95265,90,23263,2,45290,114,108
32928,423,11,77,1,14393,4,1204,2,1
32968,271,18,121,3,2087,4,565,6,4
32928,423,23,77,59,14393,4,1204,59,59
299821,823,10,364,0,9854,4,9675,2,2
8669203,91,8,95265,98,23263,2,45290,163,150
441455,845,23,522,1,19253,4,10777,1,1
8669203,91,10,95265,501,23263,1,45290,719,645
32928,423,11,77,1,14393,4,1204,1,1
1907149,123,16,15505,5,2319,4,5967,8,7
32928,423,5,77,11,14393,4,1204,17,15
1653625,2332,10,709,11,41796,4,26459,19,14
6323400,51356,12,123,8,17632,4,56696,13,12
1653625,2332,1,709,5,41796,4,26459,8,6
8669203,91,7,95265,186,23263,2,45290,318,289
1653625,2332,15,709,5,41796,4,26459,9,7
1653625,2332,11,709,6,41796,4,26459,11,10
1653625,2332,13,709,3,41796,4,26459,6,5
1907149,123,0,15505,16,2319,2,5967,28,25
32928,423,11,77,2,14393,4,1204,2,2
441455,845,23,522,2,19253,4,10777,2,2
2458743,1001,1,2456,16,14140,3,21863,18,17
362647,40082,23,9,5,64978,4,23220,13,11
1653625,2332,23,709,8,41796,4,26459,8,8
32928,423,12,77,8,14393,4,1204,11,10
1907149,123,16,15505,10,2319,4,5967,12,11
362647,40082,21,9,104,64978,3,23220,132,125
1653625,2332,16,709,62,41796,2,26459,155,124
441455,845,19,522,8,19253,4,10777,16,15
1653625,2332,11,709,4,41796,4,26459,4,4
6323400,51356,11,123,64,17632,3,56696,101,94
122198,98,15,1246,6,14768,4,7809,8,8
441455,845,23,522,1,19253,4,10777,3,3
10888952,2360,16,4613,76,4198,0,38318,140,124
8669203,91,17,95265,211,23263,0,45290,338,306
10888952,2360,20,4613,102,4198,0,38318,143,130
1907149,123,17,15505,37,2319,2,5967,57,51
2458743,1001,13,2456,10,14140,4,21863,11,11
122198,98,9,1246,14,14768,4,7809,22,21
134546,633,17,212,2,7626,4,2096,4,4
32928,423,8,77,4,14393,4,1204,4,4
10888952,2360,0,4613,6,4198,4,38318,13,10
1653625,2332,17,709,5,41796,4,26459,14,13
134546,633,16,212,2,7626,4,2096,3,3
1653625,2332,10,709,12,41796,3,26459,18,16
131763,80,0,1647,95,821,0,4697,313,224
1653625,2332,22,709,36,41796,3,26459,60,54
32928,423,1,77,0,14393,4,1204,2,2
134546,633,3,212,11,7626,4,2096,11,11
1770213,244,7,7254,46,1260,2,34318,83,65
32928,423,0,77,1,14393,4,1204,2,1
6323400,51356,12,123,321,17632,0,56696,623,503
10888952,2360,23,4613,7,4198,4,38318,10,9
362647,40082,20,9,11,64978,4,23220,15,14
362647,40082,13,9,158,64978,2,23220,252,223
32928,423,12,77,1,14393,4,1204,3,3
1653625,2332,19,709,15,41796,4,26459,20,20
32928,423,11,77,1,14393,4,1204,1,1
6323400,51356,12,123,11,17632,4,56696,16,15
1653625,2332,14,709,29,41796,3,26459,39,36
6323400,51356,11,123,201,17632,0,56696,381,344
362647,40082,14,9,9,64978,4,23220,11,11
10888952,2360,23,4613,29,4198,3,38318,38,34
131763,80,0,1647,47,821,3,4697,82,73
1907149,123,16,15505,4,2319,4,5967,4,4
134546,633,9,212,14,7626,3,2096,47,32
1653625,2332,13,709,4,41796,4,26459,4,4
441455,845,8,522,1,19253,4,10777,2,1
1016527,896,13,1134,29,12935,3,5304,41,37
1653625,2332,10,709,4,41796,4,26459,7,7
1653625,2332,17,709,10,41796,4,26459,17,17
32928,423,1,77,4,14393,4,1204,11,7
32928,423,15,77,0,14393,4,1204,0,0
1907149,123,16,15505,6,2319,4,5967,11,11
362647,40082,20,9,6,64978,4,23220,7,6
10888952,2360,20,4613,58,4198,3,38318,85,73
1016527,896,12,1134,21,12935,4,5304,32,28
1653625,2332,12,709,11,41796,4,26459,16,18
1016527,896,4,1134,5,12935,4,5304,6,5
362647,40082,5,9,2,64978,4,23220,5,4
1653625,2332,10,709,40,41796,3,26459,54,48
1653625,2332,20,709,5,41796,4,26459,10,10
6954006,41,17,169609,373,1477,1,17739,606,529
10888952,2360,0,4613,28,4198,3,38318,52,48
8669203,91,14,95265,289,23263,0,45290,502,450
362647,40082,20,9,15,64978,4,23220,32,25
1653625,2332,12,709,10,41796,3,26459,15,13
1653625,2332,23,709,10,41796,4,26459,15,14
1653625,2332,6,709,9,41796,4,26459,14,14
6323400,51356,22,123,55,17632,2,56696,83,76
122198,98,10,1246,7,14768,4,7809,9,8
1653625,2332,13,709,5,41796,4,26459,6,6
32968,271,3,121,0,2087,4,565,1,0
299821,823,11,364,3,9854,4,9675,14,12
1907149,123,20,15505,55,2319,2,5967,98,83
362647,40082,14,9,1,64978,4,23220,4,3
441455,845,8,522,22,19253,4,10777,27,24
362647,40082,16,9,33,64978,3,23220,52,43
32928,423,9,77,6,14393,4,1204,7,7
441455,845,20,522,4,19253,4,10777,5,5
1653625,2332,20,709,50,41796,3,26459,64,61
8669203,91,18,95265,22,23263,3,45290,47,45
10888952,2360,0,4613,21,4198,3,38318,29,27
32928,423,1,77,5,14393,4,1204,7,7
1016527,896,9,1134,59,12935,3,5304,90,82
32928,423,5,77,32,14393,3,1204,49,46
6323400,51356,12,123,136,17632,2,56696,277,246
1653625,2332,14,709,13,41796,4,26459,26,21
8669203,91,9,95265,682,23263,1,45290,1201,1044
362647,40082,14,9,2,64978,4,23220,7,4
2458743,1001,22,2456,80,14140,2,21863,98,95
1907149,123,15,15505,7,2319,4,5967,9,8
1907149,123,16,15505,5,2319,4,5967,6,6
2458743,1001,20,2456,46,14140,3,21863,65,64
10888952,2360,5,4613,182,4198,0,38318,294,267
32928,423,1,77,0,14393,4,1204,1,1
1653625,2332,19,709,26,41796,3,26459,40,36
32928,423,9,77,7,14393,4,1204,9,9
1907149,123,17,15505,12,2319,4,5967,18,18
1907149,123,16,15505,14,2319,4,5967,17,16
10888952,2360,9,4613,59,4198,2,38318,91,86
1653625,2332,9,709,2,41796,4,26459,5,4
362647,40082,20,9,2,64978,4,23220,2,2
441455,845,20,522,16,19253,4,10777,34,32
1653625,2332,1,709,21,41796,3,26459,36,33
32928,423,11,77,1,14393,4,1204,1,1
10888952,2360,23,4613,22,4198,3,38318,23,22
10888952,2360,21,4613,46,4198,2,38318,67,62
1016527,896,13,1134,2,12935,4,5304,4,3
441455,845,12,522,18,19253,3,10777,28,21
1653625,2332,10,709,11,41796,4,26459,19,18
6323400,51356,21,123,21,17632,3,56696,31,28
441455,845,21,522,3,19253,4,10777,4,3
441455,845,9,522,8,19253,4,10777,12,10
362647,40082,10,9,1,64978,4,23220,1,1
362647,40082,17,9,40,64978,3,23220,54,48
8669203,91,6,95265,30,23263,3,45290,53,45
1770213,244,15,7254,72,1260,2,34318,117,101
10888952,2360,10,4613,233,4198,0,38318,339,312
1653625,2332,10,709,4,41796,3,26459,6,6
1653625,2332,23,709,26,41796,3,26459,42,36
131763,80,0,1647,3,821,4,4697,9,5
1653625,2332,23,709,17,41796,3,26459,27,22
1907149,123,23,15505,21,2319,3,5967,34,30
134546,633,0,212,2,7626,4,2096,2,2
8669203,91,8,95265,234,23263,0,45290,447,387
441455,845,21,522,1,19253,4,10777,2,2
1653625,2332,0,709,23,41796,3,26459,59,47
441455,845,8,522,0,19253,4,10777,0,0
6323400,51356,11,123,149,17632,0,56696,205,193
10888952,2360,23,4613,24,4198,3,38318,29,28
32968,271,23,121,0,2087,4,565,1,0
32968,271,19,121,3,2087,4,565,4,4
32928,423,11,77,1,14393,4,1204,3,3
6323400,51356,22,123,258,17632,1,56696,471,385
1016527,896,9,1134,71,12935,3,5304,100,92
32928,423,11,77,1,14393,4,1204,1,1
10888952,2360,0,4613,40,4198,3,38318,53,48
1907149,123,15,15505,26,2319,4,5967,35,35
32928,423,10,77,21,14393,4,1204,29,27
1653625,2332,7,709,21,41796,3,26459,28,26
1653625,2332,21,709,1,41796,4,26459,2,1
32928,423,3,77,8,14393,4,1204,8,8
1907149,123,10,15505,36,2319,2,5967,54,50
362647,40082,5,9,14,64978,4,23220,15,15
1016527,896,10,1134,11,12935,4,5304,15,14
362647,40082,13,9,33,64978,4,23220,45,43
1016527,896,20,1134,80,12935,2,5304,149,135
8669203,91,17,95265,10,23263,3,45290,15,14
441455,845,7,522,20,19253,4,10777,25,25
441455,845,23,522,10,19253,4,10777,12,11
122198,98,14,1246,2,14768,4,7809,6,6
8669203,91,17,95265,531,23263,1,45290,871,786
362647,40082,7,9,4,64978,4,23220,7,6
8669203,91,7,95265,177,23263,2,45290,286,260
441455,845,16,522,0,19253,4,10777,1,1
1653625,2332,16,709,7,41796,4,26459,9,8
6954006,41,4,169609,65,1477,2,17739,112,87
1653625,2332,20,709,6,41796,4,26459,9,8
134546,633,17,212,1,7626,4,2096,1,1
32928,423,0,77,2,14393,4,1204,4,3
2458743,1001,19,2456,13,14140,3,21863,25,21
32928,423,12,77,19,14393,4,1204,22,21
10888952,2360,0,4613,3,4198,4,38318,8,7
2458743,1001,12,2456,7,14140,4,21863,8,8
32928,423,14,77,3,14393,4,1204,4,4
32928,423,1,77,10,14393,4,1204,11,11
1653625,2332,10,709,27,41796,3,26459,46,44
32928,423,3,77,6,14393,4,1204,6,6
134546,633,10,212,27,7626,3,2096,38,33
8669203,91,8,95265,28,23263,3,45290,35,34
6323400,51356,23,123,17,17632,3,56696,25,23
1653625,2332,6,709,6,41796,4,26459,8,7
8669203,91,8,95265,180,23263,2,45290,282,252
441455,845,9,522,24,19253,3,10777,43,41
10888952,2360,13,4613,55,4198,2,38318,92,83
32928,423,6,77,5,14393,4,1204,7,7
10888952,2360,20,4613,45,4198,3,38318,52,49
8669203,91,7,95265,7,23263,4,45290,9,9
32928,423,4,77,4,14393,4,1204,4,4
32928,423,11,77,8,14393,4,1204,11,10
1907149,123,15,15505,5,2319,4,5967,8,8
1653625,2332,14,709,6,41796,4,26459,6,6
10888952,2360,0,4613,21,4198,3,38318,29,28
8669203,91,7,95265,277,23263,0,45290,486,420
32928,423,3,77,4,14393,4,1204,5,5
32928,423,3,77,0,14393,4,1204,0,0
32928,423,0,77,1,14393,4,1204,2,2
6323400,51356,10,123,17,17632,3,56696,28,25
1653625,2332,20,709,26,41796,3,26459,44,39
6323400,51356,11,123,73,17632,2,56696,129,116
6323400,51356,12,123,50,17632,3,56696,97,82
1653625,2332,21,709,25,41796,3,26459,31,29
1653625,2332,6,709,36,41796,3,26459,52,47
1016527,896,3,1134,1,12935,4,5304,4,3
32928,423,5,77,3,14393,4,1204,4,3
32928,423,11,77,1,14393,4,1204,2,2
131763,80,1,1647,8,821,3,4697,19,17
1653625,2332,8,709,21,41796,3,26459,49,30
1907149,123,19,15505,31,2319,2,5967,61,53
1653625,2332,21,709,103,41796,2,26459,193,170
8669203,91,7,95265,348,23263,1,45290,728,638
8669203,91,14,95265,89,23263,3,45290,116,109
441455,845,21,522,21,19253,3,10777,45,40
1653625,2332,23,709,37,41796,3,26459,64,56
32928,423,3,77,0,14393,4,1204,3,1
32968,271,4,121,1,2087,4,565,3,2
1016527,896,14,1134,4,12935,4,5304,5,5
1653625,2332,11,709,21,41796,3,26459,29,24
647718,431,16,1502,98,2568,2,5482,166,149
32928,423,3,77,1,14393,4,1204,1,1
32928,423,11,77,22,14393,4,1204,24,24
1653625,2332,16,709,4,41796,4,26459,4,4
32928,423,11,77,6,14393,4,1204,8,7
6323400,51356,12,123,16,17632,4,56696,24,22
8669203,91,18,95265,13,23263,4,45290,19,19
6323400,51356,21,123,14,17632,3,56696,25,22
1907149,123,17,15505,4,2319,4,5967,6,4
32928,423,3,77,11,14393,4,1204,17,16
1653625,2332,19,709,5,41796,4,26459,10,9
32928,423,15,77,4,14393,4,1204,4,4
1907149,123,16,15505,8,2319,4,5967,18,16
8669203,91,9,95265,33,23263,3,45290,77,63
8669203,91,20,95265,775,23263,1,45290,1408,1224
122198,98,13,1246,8,14768,4,7809,11,10
8669203,91,18,95265,654,23263,1,45290,1058,956
10888952,2360,16,4613,9,4198,4,38318,17,10
362647,40082,16,9,7,64978,4,23220,13,13
1653625,2332,11,709,21,41796,3,26459,41,36
441455,845,23,522,2,19253,4,10777,2,2
32928,423,10,77,78,14393,3,1204,144,130
10888952,2360,16,4613,39,4198,2,38318,66,61
1653625,2332,22,709,20,41796,3,26459,44,37
299821,823,9,364,11,9854,4,9675,18,15
1653625,2332,12,709,27,41796,3,26459,29,27
32928,423,5,77,11,14393,4,1204,13,13
32928,423,1,77,5,14393,4,1204,8,8
1907149,123,1,15505,6,2319,3,5967,16,12
8669203,91,8,95265,25,23263,3,45290,31,30
1653625,2332,21,709,190,41796,2,26459,291,260
32928,423,1,77,0,14393,4,1204,1,1
134546,633,17,212,53,7626,3,2096,95,76
10888952,2360,20,4613,33,4198,3,38318,43,40
1907149,123,15,15505,3,2319,4,5967,5,3
8669203,91,16,95265,25,23263,3,45290,45,37
32968,271,17,121,0,2087,4,565,0,0
8669203,91,20,95265,175,23263,2,45290,275,249
1653625,2332,13,709,5,41796,4,26459,19,16
441455,845,7,522,3,19253,4,10777,3,3
1907149,123,15,15505,14,2319,4,5967,19,16
1016527,896,21,1134,2,12935,4,5304,2,2
8669203,91,9,95265,53,23263,2,45290,85,77
1907149,123,17,15505,25,2319,2,5967,40,35
2458743,1001,10,2456,151,14140,2,21863,223,214
32928,423,0,77,2,14393,4,1204,2,2
1653625,2332,11,709,49,41796,3,26459,75,67
